縣市區,年,月,毒品案件數,派出所數量,集會次數,宗教團體數,竊盜案件數,學校數,離婚筆數,交通案件數,青少年犯罪數(竊盜)
臺中市中東區,105,11月,28,3,0,30,5,11,241,225,1
臺中市中東區,105,12月,19,3,0,30,4,11,241,112,0
臺中市西區,105,10月,25,4,0,30,6,12,213,281,1
臺中市西區,105,11月,15,4,1,30,7,12,213,309,1
臺中市西區,105,12月,13,4,1,30,5,12,213,137,1
臺北市中山區,105,10月,69,9,1,79,8,22,223,238,1
臺北市中山區,105,11月,93,9,1,79,7,22,223,273,1
臺北市中山區,105,12月,90,9,1,79,5,22,223,98,1
臺北市中正區,105,10月,14,12,1,50,5,18,176,184,1
臺北市中正區,105,11月,24,12,1,50,4,18,176,188,1
臺北市中正區,105,12月,23,12,1,50,6,18,176,80,0
臺北市信義區,105,10月,23,6,1,42,5,18,211,196,1
臺北市信義區,105,11月,22,6,1,42,3,18,211,193,1
臺北市信義區,105,12月,27,6,1,42,2,18,211,91,1
臺北市內湖區,105,10月,31,10,0,23,7,26,196,212,1
臺北市內湖區,105,11月,23,10,0,23,8,26,196,226,1
臺北市內湖區,105,12月,11,10,0,23,4,26,196,88,1
臺北市北投區,105,10月,27,10,0,65,9,28,201,187,1
臺北市北投區,105,11月,21,10,0,65,9,28,201,195,1
臺北市北投區,105,12月,14,10,1,65,13,28,201,95,0
臺北市南港區,105,10月,13,5,0,19,4,12,235,66,1
臺北市南港區,105,11月,28,5,1,19,4,12,235,62,0
臺北市南港區,105,12月,9,5,1,19,1,12,235,26,0
臺北市士林區,105,10月,45,11,1,57,10,33,209,125,1
臺北市士林區,105,11月,28,11,1,57,6,33,209,137,0
臺北市士林區,105,12月,28,11,1,57,12,33,209,72,0
臺北市大同區,105,10月,69,7,0,35,6,18,195,109,1
臺北市大同區,105,11月,46,7,0,35,5,18,195,121,1
臺北市大同區,105,12月,36,7,1,35,4,18,195,70,1
臺北市北大安區,105,10月,28,8,0,89,8,36,170,177,0
臺北市北大安區,105,11月,44,8,1,89,5,36,170,152,1
臺北市北大安區,105,12月,42,8,1,89,9,36,170,60,0
臺北市文山區,105,10月,36,10,0,37,4,39,196,208,1
臺北市文山區,105,11月,26,10,1,37,5,39,196,194,1
臺北市文山區,105,12月,20,10,0,37,6,39,196,69,1
臺北市松山區,105,10月,34,5,0,41,6,15,186,89,1
臺北市松山區,105,11月,24,5,0,41,4,15,186,81,1
臺北市松山區,105,12月,29,5,1,41,2,15,186,39,0
臺北市萬華區,105,10月,91,12,1,30,9,18,270,137,1
臺北市萬華區,105,11月,128,12,1,30,9,18,270,110,1
臺北市萬華區,105,12月,72,12,1,30,11,18,270,34,1
臺南市七股區,105,10月,4,5,0,42,0,13,179,9,0
臺南市七股區,105,11月,5,5,0,42,0,13,179,2,0
臺南市七股區,105,12月,3,5,0,42,0,13,179,7,0
臺南市下營區,105,10月,3,2,0,39,0,6,177,8,0
臺南市下營區,105,11月,2,2,0,39,0,6,177,9,0
臺南市下營區,105,12月,2,2,0,39,1,6,177,10,0
臺南市中西區,105,10月,17,7,1,99,6,11,185,202,1
臺南市中西區,105,11月,13,7,1,99,5,11,185,248,0
臺南市中西區,105,12月,12,7,0,99,5,11,185,114,0
臺南市仁德區,105,10月,16,5,0,60,4,11,214,43,0
臺南市仁德區,105,11月,12,5,0,60,4,11,214,83,1
臺南市仁德區,105,12月,26,5,0,60,4,11,214,26,0
臺南市佳里區,105,10月,5,6,1,75,4,12,181,34,1
臺南市佳里區,105,11月,9,6,0,75,3,12,181,33,0
臺南市佳里區,105,12月,13,6,0,75,3,12,181,21,0
臺南市六甲區,105,10月,11,3,0,25,0,4,185,10,0
臺南市六甲區,105,11月,6,3,0,25,1,4,185,11,0
臺南市六甲區,105,12月,3,3,0,25,1,4,185,8,1
臺南市北門區,105,10月,1,3,1,37,0,7,172,1,0
臺南市北門區,105,11月,2,3,0,37,0,7,172,2,0
臺南市南化區,105,10月,1,3,0,54,1,6,156,3,0
